{'name': '23_#2', 'I0': 7.2, 'gamma': 1.8, 'TL_mst': 85.699999999999989, 'MD_mst': 480.09999999999997, 'TL': 267.30000000000001, 'MD': 440.59999999999997, 'cost': 3.1190198366394406, 'performance': 0.91772547385961256, 'fault tolerance': 1.0, 'efficiency': 0.32061354283576499}
{'name': '23_#3', 'I0': 7.2, 'gamma': 1.8, 'TL_mst': 63.5, 'MD_mst': 520.80000000000007, 'TL': 261.59999999999991, 'MD': 461.90000000000003, 'cost': 4.1196850393700775, 'performance': 0.88690476190476186, 'fault tolerance': 1.0, 'efficiency': 0.24273700305810406}
{'name': '24_#1', 'I0': 8.0, 'gamma': 1.8, 'TL_mst': 70.100000000000009, 'MD_mst': 642.39999999999998, 'TL': 223.19999999999999, 'MD': 523.80000000000007, 'cost': 3.1840228245363762, 'performance': 0.81537982565379841, 'fault tolerance': 1.0, 'efficiency': 0.31406810035842297}
{'name': '24_#2', 'I0': 8.0, 'gamma': 1.8, 'TL_mst': 70.799999999999997, 'MD_mst': 391.20000000000005, 'TL': 325.89999999999998, 'MD': 347.80000000000007, 'cost': 4.6031073446327682, 'performance': 0.8890593047034766, 'fault tolerance': 1.0, 'efficiency': 0.21724455354403191}
{'name': '24_#3', 'I0': 8.0, 'gamma': 1.8, 'TL_mst': 74.599999999999994, 'MD_mst': 594.19999999999993, 'TL': 257.80000000000001, 'MD': 433.80000000000013, 'cost': 3.4557640750670244, 'performance': 0.73005721979131633, 'fault tolerance': 1.0, 'efficiency': 0.28937160589604344}
{'name': 'best_#1', 'I0': 2.0, 'gamma': 1.8, 'TL_mst': 98.200000000000003, 'MD_mst': 831.79999999999995, 'TL': 140.69999999999999, 'MD': 673.39999999999998, 'cost': 1.4327902240325865, 'performance': 0.80956960807886513, 'fault tolerance': 0.8611111111111112, 'efficiency': 0.6010029218984444}
{'name': 'best_#2', 'I0': 2.0, 'gamma': 1.8, 'TL_mst': 62.600000000000001, 'MD_mst': 378.5, 'TL': 102.00000000000001, 'MD': 347.79999999999995, 'cost': 1.6293929712460067, 'performance': 0.91889035667106989, 'fault tolerance': 0.9166666666666666, 'efficiency': 0.56258169934640512}
{'name': 'best_#3', 'I0': 2.0, 'gamma': 1.8, 'TL_mst': 54.999999999999993, 'MD_mst': 475.80000000000001, 'TL': 75.699999999999974, 'MD': 445.70000000000005, 'cost': 1.376363636363636, 'performance': 0.93673812526271549, 'fault tolerance': 0.8571428571428571, 'efficiency': 0.62275901113417642}
{'name': 'best_#4', 'I0': 2.0, 'gamma': 1.8, 'TL_mst': 67.0, 'MD_mst': 564.79999999999995, 'TL': 80.600000000000009, 'MD': 558.79999999999995, 'cost': 1.2029850746268658, 'performance': 0.98937677053824358, 'fault tolerance': 0.35, 'efficiency': 0.29094292803970218}
{'name': 'best_#5', 'I0': 2.0, 'gamma': 1.8, 'TL_mst': 59.299999999999997, 'MD_mst': 389.80000000000007, 'TL': 63.800000000000011, 'MD': 349.80000000000007, 'cost': 1.0758853288364252, 'performance': 0.89738327347357616, 'fault tolerance': 0.29411764705882354, 'efficiency': 0.27337267195279363}
